Ref,Val,Package,PosX,PosY,Rot,Side
"LED1","WS2812B","WS2812BDual",198.100000,-114.625000,0.000000,top
"LED2","WS2812B","WS2812BDual",222.100000,-114.625000,0.000000,top
"LED3","WS2812B","WS2812BDual",246.100000,-114.625000,0.000000,top
"SW_0_1","mx-alps-fut","mx-alps-futaba",206.200000,-40.550000,0.000000,top
"SW_1_1","mx-alps-fut","mx-alps-futaba",35.200000,-40.550000,0.000000,top
"SW_2_1","mx-alps-fut","mx-alps-futaba",54.200000,-40.550000,0.000000,top
"SW_3_1","mx-alps-fut","mx-alps-futaba",73.200000,-40.550000,0.000000,top
"SW_4_1","mx-alps-fut","mx-alps-futaba",92.200000,-40.550000,0.000000,top
"SW_5_1","mx-alps-fut","mx-alps-futaba",111.200000,-40.550000,0.000000,top
"SW_6_1","mx-alps-fut","mx-alps-futaba",130.200000,-40.550000,0.000000,top
"SW_7_1","mx-alps-fut","mx-alps-futaba",149.200000,-40.550000,0.000000,top
"SW_8_1","mx-alps-fut","mx-alps-futaba",168.200000,-40.550000,0.000000,top
"SW_9_1","mx-alps-fut","mx-alps-futaba",187.200000,-40.550000,0.000000,top
"SW_ALT_1","mx-alps-fut","mx-alps-futaba",77.720000,-116.650000,0.000000,top
"SW_AMG_1","mx-alps-fut","mx-alps-futaba",248.720000,-97.550000,0.000000,top
"SW_AT_1","mx-alps-fut","mx-alps-futaba",234.370000,-59.525000,0.000000,top
"SW_A_1","mx-alps-fut","mx-alps-futaba",49.220000,-78.550000,0.000000,top
"SW_B_1","mx-alps-fut","mx-alps-futaba",134.720000,-97.550000,0.000000,top
"SW_CAPS_1","mx-alps-fut","mx-alps-futaba",30.220000,-78.550000,0.000000,top
"SW_CAR_1","mx-alps-fut","mx-alps-futaba",244.200000,-40.550000,0.000000,top
"SW_COL_1","mx-alps-fut","mx-alps-futaba",239.220000,-78.550000,0.000000,top
"SW_CPY_1","mx-alps-fut","mx-alps-futaba",30.220000,-12.050000,0.000000,top
"SW_CTRL_1","mx-alps-fut","mx-alps-futaba",11.220000,-78.550000,0.000000,top
"SW_C_1","mx-alps-fut","mx-alps-futaba",96.720000,-97.550000,0.000000,top
"SW_DEL_1","mx-alps-fut","mx-alps-futaba",284.575000,-40.550000,0.000000,top
"SW_DOWN_1","mx-alps-fut","mx-alps-futaba",338.200000,-12.050000,0.000000,top
"SW_D_1","mx-alps-fut","mx-alps-futaba",87.220000,-78.550000,0.000000,top
"SW_ED_1","mx-alps-fut","mx-alps-futaba",281.970000,-78.550000,0.000000,top
"SW_ESC_1","mx-alps-fut","mx-alps-futaba",13.500000,-40.550000,0.000000,top
"SW_ET_1","mx-alps-fut","mx-alps-futaba",279.495000,-59.525000,0.000000,top
"SW_E_1","mx-alps-fut","mx-alps-futaba",82.370000,-59.525000,0.000000,top
"SW_F1_1","mx-alps-fut","mx-alps-futaba",73.020000,-12.050000,0.000000,top
"SW_F2_1","mx-alps-fut","mx-alps-futaba",111.020000,-12.050000,0.000000,top
"SW_F3_1","mx-alps-fut","mx-alps-futaba",149.020000,-12.050000,0.000000,top
"SW_F4_1","mx-alps-fut","mx-alps-futaba",187.020000,-12.050000,0.000000,top
"SW_F5_1","mx-alps-fut","mx-alps-futaba",225.020000,-12.050000,0.000000,top
"SW_FC_1","mx-alps-fut","mx-alps-futaba",253.370000,-59.525000,0.000000,top
"SW_F_1","mx-alps-fut","mx-alps-futaba",106.220000,-78.550000,0.000000,top
"SW_GT_1","mx-alps-fut","mx-alps-futaba",210.720000,-97.550000,0.000000,top
"SW_G_1","mx-alps-fut","mx-alps-futaba",125.220000,-78.550000,0.000000,top
"SW_H_1","mx-alps-fut","mx-alps-futaba",144.220000,-78.550000,0.000000,top
"SW_I_1","mx-alps-fut","mx-alps-futaba",177.370000,-59.525000,0.000000,top
"SW_J_1","mx-alps-fut","mx-alps-futaba",163.220000,-78.550000,0.000000,top
"SW_KP0_1","mx-alps-fut","mx-alps-futaba",319.200000,-116.550000,0.000000,top
"SW_KP1_1","mx-alps-fut","mx-alps-futaba",319.200000,-97.550000,0.000000,top
"SW_KP2_1","mx-alps-fut","mx-alps-futaba",338.200000,-97.550000,0.000000,top
"SW_KP3_1","mx-alps-fut","mx-alps-futaba",357.200000,-97.550000,0.000000,top
"SW_KP4_1","mx-alps-fut","mx-alps-futaba",319.200000,-78.550000,0.000000,top
"SW_KP5_1","mx-alps-fut","mx-alps-futaba",338.200000,-78.550000,0.000000,top
"SW_KP6_1","mx-alps-fut","mx-alps-futaba",357.200000,-78.550000,0.000000,top
"SW_KP7_1","mx-alps-fut","mx-alps-futaba",319.200000,-59.550000,0.000000,top
"SW_KP8_1","mx-alps-fut","mx-alps-futaba",338.200000,-59.550000,0.000000,top
"SW_KP9_1","mx-alps-fut","mx-alps-futaba",357.200000,-59.550000,0.000000,top
"SW_KPCOM_1","mx-alps-fut","mx-alps-futaba",338.200000,-116.550000,0.000000,top
"SW_KPDIV_1","mx-alps-fut","mx-alps-futaba",376.200000,-40.550000,0.000000,top
"SW_KPENT_1","mx-alps-fut","mx-alps-futaba",376.200000,-116.550000,0.000000,top
"SW_KPEQ_1","mx-alps-fut","mx-alps-futaba",376.200000,-97.550000,0.000000,top
"SW_KPHELP1","mx-alps-fut","mx-alps-futaba",338.200000,-40.550000,0.000000,top
"SW_KPHOME_1","mx-alps-fut","mx-alps-futaba",319.200000,-40.550000,0.000000,top
"SW_KPMIN_1","mx-alps-fut","mx-alps-futaba",357.200000,-40.550000,0.000000,top
"SW_KPMULT_1","mx-alps-fut","mx-alps-futaba",376.200000,-59.550000,0.000000,top
"SW_KPPER_1","mx-alps-fut","mx-alps-futaba",357.200000,-116.550000,0.000000,top
"SW_KPPLUS_1","mx-alps-fut","mx-alps-futaba",376.200000,-78.550000,0.000000,top
"SW_K_1","mx-alps-fut","mx-alps-futaba",182.220000,-78.550000,0.000000,top
"SW_LEFT_1","mx-alps-fut","mx-alps-futaba",357.200000,-12.050000,0.000000,top
"SW_LS1_1","mx-alps-fut","mx-alps-futaba",11.220000,-97.550000,0.000000,top
"SW_LS2_1","mx-alps-fut","mx-alps-futaba",39.720000,-97.550000,0.000000,top
"SW_LT_1","mx-alps-fut","mx-alps-futaba",191.720000,-97.550000,0.000000,top
"SW_L_1","mx-alps-fut","mx-alps-futaba",201.220000,-78.550000,0.000000,top
"SW_MN_1","mx-alps-fut","mx-alps-futaba",225.200000,-40.550000,0.000000,top
"SW_M_1","mx-alps-fut","mx-alps-futaba",172.720000,-97.550000,0.000000,top
"SW_N_1","mx-alps-fut","mx-alps-futaba",153.720000,-97.550000,0.000000,top
"SW_O_1","mx-alps-fut","mx-alps-futaba",196.370000,-59.525000,0.000000,top
"SW_P_1","mx-alps-fut","mx-alps-futaba",215.370000,-59.525000,0.000000,top
"SW_Q_1","mx-alps-fut","mx-alps-futaba",44.370000,-59.525000,0.000000,top
"SW_RIGHT_1","mx-alps-fut","mx-alps-futaba",376.200000,-12.050000,0.000000,top
"SW_RLD_1","mx-alps-fut","mx-alps-futaba",286.820000,-12.050000,0.000000,top
"SW_RLU_1","mx-alps-fut","mx-alps-futaba",267.820000,-12.050000,0.000000,top
"SW_RSH_1","mx-alps-fut","mx-alps-futaba",277.220000,-97.550000,0.000000,top
"SW_R_1","mx-alps-fut","mx-alps-futaba",101.370000,-59.525000,0.000000,top
"SW_SLS_1","mx-alps-fut","mx-alps-futaba",229.720000,-97.550000,0.000000,top
"SW_SMI_1","mx-alps-fut","mx-alps-futaba",220.220000,-78.550000,0.000000,top
"SW_SP1_1","mx-alps-fut","mx-alps-futaba",153.720000,-116.650000,0.000000,top
"SW_SP2_1","mx-alps-fut","mx-alps-futaba",172.720000,-116.650000,0.000000,top
"SW_STP_1","mx-alps-fut","mx-alps-futaba",11.220000,-12.050000,0.000000,top
"SW_SUP_1","mx-alps-fut","mx-alps-futaba",58.720000,-116.650000,0.000000,top
"SW_S_1","mx-alps-fut","mx-alps-futaba",68.220000,-78.550000,0.000000,top
"SW_TAB_1","mx-alps-fut","mx-alps-futaba",18.245000,-59.525000,0.000000,top
"SW_T_1","mx-alps-fut","mx-alps-futaba",120.370000,-59.525000,0.000000,top
"SW_UP_1","mx-alps-fut","mx-alps-futaba",319.200000,-12.050000,0.000000,top
"SW_U_1","mx-alps-fut","mx-alps-futaba",158.370000,-59.525000,0.000000,top
"SW_V_1","mx-alps-fut","mx-alps-futaba",115.720000,-97.550000,0.000000,top
"SW_WE_1","mx-alps-fut","mx-alps-futaba",258.220000,-78.550000,0.000000,top
"SW_W_1","mx-alps-fut","mx-alps-futaba",63.370000,-59.525000,0.000000,top
"SW_X_1","mx-alps-fut","mx-alps-futaba",77.720000,-97.550000,0.000000,top
"SW_YEN_1","mx-alps-fut","mx-alps-futaba",263.200000,-40.550000,0.000000,top
"SW_Y_1","mx-alps-fut","mx-alps-futaba",139.370000,-59.525000,0.000000,top
"SW_Z_1","mx-alps-fut","mx-alps-futaba",58.720000,-97.550000,0.000000,top
